ep_id;char_id
1;1
1;2
1;3
1;4
1;5
2;3
2;4
2;6
2;7
3;1
3;2
3;3
3;4
3;5
3;8
3;9
3;10
4;1
4;2
4;3
4;4
4;5
4;9
4;11
4;12
4;13
5;1
5;3
5;4
5;14
6;1
6;3
6;6
6;11
6;15
6;16
7;3
7;4
7;6
7;7
7;17
8;3
8;4
8;11
8;18
9;3
9;6
10;1
10;3
10;4
10;5
10;6
10;11
11;3
11;4
11;6
11;7
11;20
12;2
12;3
12;5
12;10
12;21
13;1
13;3
13;4
13;6
13;9
13;12
13;22
13;23
14;3
14;6
14;9
14;11
14;16
14;24
15;3
15;11
15;25
16;1
16;3
16;4
16;7
16;23
17;3
17;4
17;6
17;7
17;15
17;25
18;1
18;2
18;3
18;4
18;5
18;9
18;11
18;21
19;1
19;3
19;4
19;5
19;6
19;16
20;1
20;2
20;3
20;4
20;5
20;6
20;11
20;18
20;21
20;25
21;3
21;4
21;11
21;27
22;1
22;3
22;4
22;15
22;16
23;3
23;4
23;6
23;7
23;25
24;3
24;5
24;9
24;16
24;28
24;29
25;3
25;4
25;6
25;11
25;25
26;1
26;3
26;4
26;5
26;6
26;7
26;11
26;25
27;1
27;2
27;3
27;4
27;5
27;9
27;11
27;22
27;30
28;2
28;3
28;5
28;11
28;21
28;31
29;1
29;3
29;4
29;6
29;11
29;15
30;3
30;6
30;16
31;1
31;2
31;3
31;4
31;5
31;6
31;7
31;11
32;3
32;5
32;11
32;25
33;3
33;6
33;7
33;32
34;1
34;3
34;4
34;10
35;3
35;5
35;11
35;13
36;1
36;3
36;4
36;7
36;23
37;3
37;6
37;11
37;16
37;31
38;3
38;4
38;11
38;25
39;3
39;4
39;6
39;7
39;20
40;2
40;3
40;5
40;9
40;11
41;1
41;2
41;3
41;4
41;5
41;6
41;7
41;9
41;11
41;22
42;3
42;6
42;25
43;3
43;5
43;6
43;11
43;33
43;34
44;2
44;3
44;4
44;16
44;18
45;2
45;3
45;4
45;5
45;6
45;7
45;11
45;16
46;2
46;3
46;4
46;5
46;9
46;11
47;3
47;4
47;6
47;7
47;11
48;1
48;3
48;6
48;11
48;35
49;3
49;4
49;11
49;18
49;25
49;33
50;3
50;4
50;7
50;20
50;36
