ep_id;rating;nb_votes
1;8.1;48
2;8.2;46
3;7.5;41
4;7.8;39
5;7.6;40
6;7.7;40
7;7.3;37
8;7.6;38
9;8.2;41
10;7.5;40
11;7.6;37
12;7.8;39
13;7.7;36
14;7.3;40
15;8.1;43
16;7.5;41
17;7.4;39
18;7.8;36
19;7.5;37
20;7.5;37
21;7.5;35
22;7.1;36
23;7.6;38
24;7.9;38
25;7.9;33
26;7.8;37
27;7.5;37
28;8.9;42
29;7.6;34
30;7.4;34
31;7.7;33
32;7.8;33
33;7.5;33
34;7.4;34
35;8.1;34
36;8.0;34
37;7.6;34
38;7.5;35
39;7.7;35
40;7.9;40
41;7.5;33
42;7.8;33
43;7.7;33
44;7.3;33
45;7.4;35
46;7.5;33
47;7.3;33
48;7.6;33
49;7.8;33
50;7.5;33
