ep_id;char_id
51;1
51;2
51;3
51;4
51;5
51;9
51;11
51;12
51;22
52;1
52;3
52;6
53;3
53;6
53;11
54;1
54;2
54;3
54;5
54;9
54;11
55;3
55;4
55;6
55;7
55;20
56;3
56;4
56;6
57;2
57;5
57;21
58;3
58;5
58;25
59;1
59;2
59;3
59;5
59;6
59;9
59;11
59;22
60;3
60;9
60;20
60;36
61;1
61;3
61;4
62;3
62;11
62;33
62;38
63;3
63;4
63;6
63;7
63;39
64;3
64;5
64;21
65;3
65;4
65;6
65;7
65;40
66;1
66;2
66;3
66;4
66;5
66;11
66;21
67;2
67;3
67;4
67;35
68;2
68;3
68;4
68;33
69;2
69;3
69;4
69;5
69;9
69;11
70;3
70;5
70;11
70;33
71;2
71;3
71;5
71;21
72;3
72;5
72;6
72;9
73;2
73;3
73;5
73;6
73;31
74;3
74;6
75;3
75;5
75;41
76;2
76;3
76;4
76;5
76;6
76;11
76;16
76;21
77;2
77;3
77;5
78;1
78;3
78;5
78;6
78;31
79;3
79;5
79;16
79;24
79;25
80;1
80;2
80;3
80;4
80;5
80;11
80;12
81;3
81;6
81;7
81;11
81;25
81;40
82;3
82;6
82;16
82;25
83;3
83;4
83;7
83;40
84;1
84;3
84;4
84;6
84;16
84;23
85;3
85;10
85;11
85;13
85;20
85;25
85;36
85;42
86;1
86;3
86;4
86;5
86;11
87;3
87;6
88;1
88;2
88;3
88;4
88;5
88;11
88;12
88;22
89;2
89;3
89;5
89;21
90;1
90;3
90;6
91;3
91;5
91;20
91;36
92;2
92;3
92;4
92;21
93;2
93;3
93;5
94;2
94;3
94;4
94;5
95;3
95;6
95;16
96;2
96;3
96;4
96;5
96;9
96;11
97;3
97;6
98;2
98;3
98;5
98;6
98;11
98;16
99;2
99;3
99;5
100;1
100;2
100;3
100;4
100;5
100;9
100;11
100;12
100;13
