ep_id;rating;nb_votes
1;8.1;48
2;8.2;46
3;7.5;41
4;7.8;39
5;7.6;40
6;7.7;40
7;7.3;37
8;7.6;38
9;8.2;41
10;7.5;40
11;7.6;37
12;7.8;39
13;7.7;36
14;7.3;40
15;8.1;43
16;7.5;41
17;7.4;39
18;7.8;36
19;7.5;37
20;7.5;37
21;7.5;35
22;7.1;36
23;7.6;38
24;7.9;38
25;7.9;33
26;7.8;37
27;7.5;37
28;8.9;42
29;7.6;34
30;7.4;34
31;7.7;33
32;7.8;33
33;7.4;33
34;7.4;34
35;8.1;34
36;8.0;34
37;7.6;34
38;7.5;35
39;7.7;35
40;8.0;40
41;7.5;33
42;7.8;33
43;7.7;33
44;7.3;33
45;7.4;35
46;7.5;33
47;7.3;33
48;7.6;33
49;7.8;33
50;7.5;33
51;7.7;32
52;7.8;31
53;7.6;31
54;8.0;34
55;8.0;34
56;7.5;33
57;8.1;34
58;7.8;32
59;8.0;35
60;7.8;33
61;7.9;33
62;7.4;33
63;7.9;36
64;7.6;36
65;7.6;33
66;7.7;32
67;7.5;33
68;7.9;36
69;7.8;32
70;7.2;32
71;7.8;34
72;8.0;35
73;7.5;32
74;7.3;32
75;8.0;34
76;7.6;31
77;7.5;31
78;7.1;33
79;7.2;32
80;7.5;30
81;7.7;30
82;8.0;31
83;7.5;31
84;7.5;30
85;7.9;34
86;7.6;31
87;7.2;31
88;7.8;31
89;8.4;33
90;7.7;32
91;7.6;29
92;7.9;30
93;8.4;33
94;8.0;30
95;7.6;29
96;7.7;31
97;7.3;30
98;7.6;30
99;7.8;29
100;7.5;32
