personnage;people_firstname;people_lastname
BOHORT;Nicolas;Gabion
KARADOC;Jean-Christophe;Hembert
ARTHUR;Alexandre;Astier
LÉODAGAN;Lionnel;Astier
PERCEVAL;Franck;Pitiot
GUENIÈVRE;Anne;Girouard
SÉLI;Joëlle;Sevilla
BRECCAN;Yvan;Le Bolloc'h
PÈRE BLAISE;Jean-Robert;Lombard
LA DAME DU LAC;Audrey;Fleurot
LANCELOT;Thomas;Cousseau
GALESSIN;Alexis;Hénon
HERVÉ DE RINEL;Tony;Saba
ATTILA;Lan;Truong
GRÜDÜ;Thibault;Roux
DEMETRA;Caroline;Pascal
BUZIT;Didier;Bénureau
KAY;Julien;Dutel
LE MAÎTRE D'ARMES;Christian;Bujeau
YVAIN;Simon;Astier
LE TAVERNIER;Alain;Chapuis
CALOGRENANT;Stéphane;Margot
VENEC;Loïc;Varraut
LE RÉPURGATEUR;Elie;Semoun
MERLIN;Jacques;Chambon
ÉLIAS DE KELLIWIC'H;Bruno;Fontaine
JACCA;Georges;Beller
LE ROI BURGONDE;Guillaume;Briat
L’INTERPRÈTE;Lorant;Deutsch
DAGONET;Antoine;De Caunes
ANGHARAD;Vanessa;Guedj
BONIFACE;Marcel;Philippot
GUETHENOC;Serge;Papagalli
MADENN;Barbara;Schulz
AZÉNOR;Emma;De Caunes
GAUVAIN;Aurélien;Portehaut
CAIUS CAMILLUS;Bruno;Salomone
ROPARZ;Gilles;Graveleau
GOUSTAN;Philippe;Nahon
YGERNE;Josée;Drevon
NARSÈS;Denis;Maréchal
LA FÉE MORGANE;Léa;Drucker
